No,Istilah,Definisi
1367,sertifikat asal barang/certificate of origin,"dokumen yang menyatakan negara asal dari barang yang diperdagangkan, biasanya diperlukan dalam perdagangan internasional."
1368,sertifikat asuransi/certificate of insurance,keterangan bahwa polis asuransi telah diterbitkan dengan menunjukkan jumlah dan jenis barang yang dipertanggungkan secara terperinci; polis tersebut dapat digunakan sebagai bukti untuk mereasuransikan kepada asuradur.
1369,sertifikat deposito/certificate of deposit,simpanan dalam bentuk deposito yang sertifikat bukti penyimpanannya dapat dipindahtangankan.
1370,sertifikat mutu/certificate of quality,sertifikat yang menerangkan bahwa kualitas atau mutu barang telah sesuai dengan persyaratan yang ditetapkan oleh pembeli dan ditandatangani oleh pejabat berwenang.
1371,sertifikat pemeriksaan/certificate of inspection,surat keterangan yang menyatakan bahwa kondisi barang yang akan dikirim dalam keadaan baik sebelum barang tersebut terangkut/dikapalkan.
1372,sertifikat saham/certificate of stock,"1. sertifikat yang diterbitkan oleh sebuah perseroan terbatas bukan bank; 2. surat bukti kepemilikan sejumlah saham suatu perseroan; dalam sertifikat tersebut dicantumkan nama penerbit, jumlah nominal atau mewakili nilai yang dinyatakan, atau deklarasi nilai bukan nominal, dan hak pemegang saham; sertifikat ini dapat diperdagangkan seluruhnya dengan menyerahkan kembali sertifikat tersebut kepada penerbit atau melalui pialang untuk diadakan pembahasan."
1373,sertifikat/certificate,"1. suatu akta yang sengaja dibuat untuk tanda bukti tentang adanya suatu peristiwa hukum tertentu; 2. tanda bukti mengenai sesuatu hal yang dapat digunakan untuk mendokumentasikan suatu fakta, seperti akta kelahiran, telah menyelesaikan atau mengikuti suatu seminar."
1374,servitude/hak lewat,hak kebendaan berupa hak beban di atas lahan atau tanah milik orang lain untuk kepentingan orang yang meletakkan beban tersebut karena misalnya letak tanah mereka berdampingan.
1375,setoran jaminan/marginal deposit,"uang yang diterima bank sebagai jaminan yang akan diperhitungkan pada waktu penyelesaian suatu transaksi, misalnya dalam pembukaan L/C dalam negeri dan luar negeri."
1376,settlement of disputes/penyelesaian sengketa,"sistem dan prosedur penyelesaian sengketa hukum baik yang dilakukan melalui lembaga pengadilan, maupun melalui lembaga arbitrase, konsultasi, konsiliasi atau mediasi."
1377,severable contract/kontrak terpisah,"suatu kontrak yang secara hukum dinyatakan terpisah dari kontrak pokoknya, misalnya dalam hukum arbitrase suatu perjanjian arbitrase oleh hukum dapat dinyatakan sebagai perjanjian yang terpisah dari perjanjian pokoknya meskipun isi perjanjian arbitrase tersebut berkenaan dengan cara penyelesaian sengketa yang timbul dari pelaksanaan isi perjanjian pokoknya, oleh karena dinilai sebagai kontrak yang terpisah maka ketakabsahan kontrak pokok tak berpengaruh terhadap kontrak atau perjanjian arbitrase itu."
1378,sewa beli/lease,"perjanjian sewa-menyewa, biasanya mengenai tanah, gedung atau peralatan modal selama jangka waktu tertentu dengan pembayaran sewa berkala, termasuk kewajiban pemilik seperti pajak, penyusutan dan asuransi; pada akhir masa sewa, biasanya, penyewa diberikan opsi untuk meneruskan jangka waktu sewa atau membeli barang sewa tersebut."
1379,shareholder,pemegang saham.
1380,shareholders general meeting/rapat umum pemegang saham,organ perseroan yang memegang kekuasaan tertinggi dalam perseroan dan memegang segala wewenang yang tidak diserahkan kepada direksi atau komisaris.
1381,shares/saham/surat saham,bukti pemilikan modal perseroan terbatas yang memberikan berbagai hak kepada pemilik atau pemegangnya sesuai dengan ketentuan anggaran dasar pendiriannya.
1382,shifting of burden of proof/pengalihan beban pembuktian,"kewajiban untuk membuktikan fakta di depan hakim yang bergeser atau beralih dari pihak yang seharusnya membuktikan, yaitu pihak yang mendalilkan, ke pihak lawan."
1383,short-term loan/pinjaman jangka pendek,pinjaman atau kredit yang berjangka waktu maksimum 1 tahun.
1384,sight draft/wesel lihat/wesel atas unjuk,"surat wesel yang pembayarannya dilakukan saat diunjukkan atau diperlihatkan kepada pihak tertarik, wesel ini tidak dapat diperdagangkan kecuali apabila diberikan tenggang waktu bagi pembayarannya."
1385,silent partner/mitra pasif,peserta atau mitra dalam persekutuan komanditer yang tidak mempunyai wewenang kepengurusan dan tanggung jawabnya terbatas sampai jumlah uang yang dimasukkan ke dalam persekutuan tersebut.
1386,sinking fund/dana pelunasan utang,dana perusahaan yang digunakan untuk membayar utang jangka panjang yang dihimpun dengan menyisihkan sebagian laba secara berkala.
1387,sisa lebih perhitungan anggaran (SiLPA),selisih lebih realisasi penerimaan dan pengeluaran anggaran selama satu periode anggaran.
1388,sistem akuntansi barang milik negara (SABMN),sub sistem dari SAI yang merupakan serangkaian prosedur yang saling berhubungan untuk mengolah dokumen sumber dalam rangka menghasilkan informasi untuk penyusunan neraca dan laporan BMN serta laporan manajerial lainnya sesuai ketentuan yang berlaku.
1389,sistem akuntansi instansi (SAI),"serangkaian prosedur manual maupun yang terkomputerisasi mulai dari pengumpulan data, pencatatan, pengikhtisaran sampai dengan pelaporan posisi keuangan dan operasi keuangan pada Kementerian Negara/Lembaga."
1390,sistem akuntansi kas umum negara (SAKUN),sub SiAP yang menghasilkan Laporan Arus Kas dan Neraca Kas Umum Negara yang selanjutnya disebut Neraca KUN.
1391,sistem akuntansi pemerintah pusat (SAPP),"serangkaian prosedur manual maupun yang terkomputerisasi mulai dari pengumpulan data, pencatatan, pengikhtisaran sampai dengan pelaporan posisi keuangan dan operasi keuangan Pemerintah Pusat."
1392,sistem akuntansi pusat (SiAP),"serangkaian prosedur manual maupun yang terkomputerisasi mulai dari pengumpulan data, pencatatan, pengikhtisaran sampai dengan pelaporan posisi keuangan dan operasi keuangan pada Kementerian Keuangan selaku Bendahara Umum Negara."
1393,sistem akuntansi umum (SAU),sub SiAP yang menghasilkan Laporan Realisasi Anggaran Pemerintah Pusat dan Neraca.
1394,sistem pengendalian intern (SPI),"suatu proses yang integral pada tindakan dan kegiatan yang dilakukan secara terus menerus oleh pimpinan dan seluruh pegawai untuk memberikan keyakinan memadai atas tercapainya tujuan organisasi melalui kegiatan yang efektif dan efisien, keandalan pelaporan keuangan, pengamanan aset negara, dan ketaatan terhadap peraturan perundang-undangan."
1395,sistem pengendalian intern pemerintah (SPIP),sistem pengendalian intern yang diselenggarakan secara menyeluruh di lingkungan pemerintah pusat dan pemerintah daerah.
1396,sistem perbankan nasional/national banking system,"sistem yang mengatur mengenai segala sesuatu yang menyangkut bank, mencakup kelembagaan, kegiatan usaha, serta cara dan proses melaksanakan kegiatan usahanya secara keseluruhan; di Indonesia ketentuan mengenai perbankan nasional terakhir diatur dalam Undang-Undang Nomor 7 Tahun 1992 tentang Perbankan dan Undang-Undang Nomor 10 Tahun 1998 tentang Perubahan atas Undang-Undang Nomor 7 tahun 1992 tentang Perbankan; perbankan Indonesia bertujuan menunjang pelaksanaan pembangunan nasional dalam rangka meningkatkan pemerataan, pertumbuhan ekonomi, dan stabilitas nasional ke arah peningkatan kesejahteraan rakyat banyak; menurut jenisnya, bank di Indonesia terdiri atas bank umum dan bank perkreditan rakyat."
1397,sita – penyitaan/sequestration,"1. penitipan barang sengketa kepada pihak ketiga, yang ditunjuk oleh pihak-pihak yang bersengketa atau oleh pengadilan; pihak ketiga wajib menyerahkan barang sengketa itu kepada pihak yang dinyatakan berhak setelah terdapat keputusan pengadilan; 2. pengambilalihan harta seseorang kemudian dijual untuk melunasi utangnya; apabila harga jual harta tersebut lebih besar daripada jumlah utangnya, sisa hasil penjualan harus dikembalikan kepada debitur."
1398,sita eksekusi/executoricalbeslag,penahanan barang milik yang kalah perkara karena tidak memenuhi keputusan hakim sebagai pengganti jumlah uang yang harus dibayar dan ongkos-ongkos untuk menjalankan putusan tersebut.
1399,sita gadai/pand beslag,penyitaan atas barang-barang gadai yang dikuasai oleh kreditur karena debitur tidak mampu menebus kembali barang gadainya pada saat jatuh tempo.
1400,slip kredit/credit slip/credit voucher,"dokumen yang menjelaskan pengkreditan kembali rekening pemegang kartu, yang membuktikan bahwa pemegang kartu telah mengembalikan barang yang dibeli kepada penjual."
1401,sole agent/agen tunggal,"satu-satunya agen di suatu wilayah tertentu yang ditunjuk oleh prinsipalnya untuk melakukan tindakan hukum tertentu, biasanya berupa tindakan untuk menjual produk dan/atau jasa dari prinsipal."
1402,sole proprietorship/perusahaan perseorangan,perusahaan yang bukan berbadan hukum yang dimiliki oleh perseorangan dengan tanggung jawab pribadi.
1403,solvency/solvabilitas,kemampuan membayar semua utang kepada kreditur pada saat jatuh tempo dengan perhitungan bahwa nilai harta lebih tinggi daripada nilai semua utang.
1404,somasi/call,peringatan tertulis melalui pengadilan dan kreditur kepada debitur yang cedera janji untuk memenuhi kewajibannya dalam batas waktu tertentu.
1405,specific limitation on trade/pembatasan khusus perdagangan,"tindakan pemerintah untuk membatasi impor atau ekspor suatu komoditi dengan menegaskan jumlah atau nilainya, biasanya eksportir atau importir harus mendapatkan izin pemerintah untuk setiap transaksi ekspor atau impor yang akan dilakukannya."
1406,standar,1. ukuran tertentu yang dipakai sebagai patokan atau ukuran baku; 2. sesuatu yang dianggap tetap nilainya sehingga dapat dipakai sebagai ukuran nilai (harga).
1407,standar akuntansi,pedoman dan ukuran tentang pencatatan dan pelaporan berkaitan dengan transaksi keuangan yang disusun oleh suatu badan yang berwenang menurut undang-undang.
1408,standar akuntansi pemerintah (SAP),prinsip-prinsip akuntansi yang diterapkan dalam menyusun dan menyajikan laporan keuangan pemerintah.
1409,standar pemeriksaan keuangan negara (SPKN),"patokan untuk melakukan pemeriksaan pengelolaan dan tanggung jawab keuangan negara yang meliputi standar umum, standar pelaksanaan pemeriksaan, dan standar pelaporan yang wajib dipedomani oleh BPK dan/atau pemeriksa."
1410,standby letter of credit/surat kredit siaga,surat kredit dalam perdagangan internasional yang berfungsi sebagai jaminan bagi pihak pembeli terhadap kerugian yang dideritanya akibat dari penjual yang ingkar janji.
1411,stare decisis/preseden,suatu prinsip hukum menurut tradisi Common Law dalam hal mana suatu pengadilan yang menghadapi masalah tertentu akan menerapkan atau mengikuti keputusan pengadilan sebelumnya yang memuat masalah hukum yang sama dengan yang dihadapi oleh pengadilan tersebut.
1412,state-owned enterprises/perusahaan Negara,perusahaan yang seluruh modalnya dimiliki oleh negara.
1413,stock option/opsi saham,"hak opsi atau hak pilih untuk membeli sejumlah saham perusahaan pada tingkat harga tertentu, hak ini diberikan misalnya kepada karyawan atau para pemegang saham perusahaan, sering disebut juga stock right."
1414,stock split/pemecahan saham,"pemecahan saham perseroan yang telah ada menjadi dua atau lebih saham baru dengan harga yang lebih kecil, sehingga dari satu saham lama dapat dihasilkan dua atau lebih saham baru yang bila dijumlahkan harganya lebih besar daripada harga satu saham lama, tindakan ini dilakukan oleh perseroan yang bersangkutan apabila harga saham tersebut dinilai terlalu tinggi di bursa saham sehingga menyulitkan investor."
1415,stock warrant/waran saham/surat pembelian saham,suatu sertifikat yang dijual kepada masyarakat umum yang memberi hak kepada pemiliknya untuk membeli sejumlah saham pada waktu dan dengan harga tertentu.
1416,straight bill of lading/konosemen rekta/konosemen atas nama,"surat muatan atau konosemen yang mencantumkan nama penerima barang di pelabuhan tujuan dengan klausul tidak kepada order, konosemen semacam ini hanya dapat dialihkan dengan cara cessie."
1417,straight letter of credit/surat kredit langsung,surat kredit yang dapat segera dibayar pada waktu penyerahan surat wesel atas unjuk yang disertai dokumen lengkap.
1418,strict liability/tanggung jawab hukum tanpa kesalahan,prinsip pertanggungjawaban hukum yang dapat dijatuhkan terhadap seseorang atau badan hukum tanpa mensyaratkan adanya unsur kesalahan.
1419,suap (bribe),"pemberian sesuatu secara terpaksa, sifatnya melawan hukum, dengan tujuan melancarkan pengurusan suatu kepentingan."
1420,subrogasi/subrogation,"pengalihan kreditur kepada pihak lain yang telah melakukan pembayaran atas utang debitur sehingga pihak lain tersebut menggantikan kedudukan sebagai kreditur; dengan demikian, segala hak dan kewajiban debitur beralih kepadanya."
1421,subrogation/subrogasi,"penggantian kreditur berikut pemindahan hak-haknya kepada pihak ketiga dengan melakukan pembayaran kepadanya, sehingga dengan demikian pihak ketiga tersebut menggantikan kedudukan kreditur terhadap debitur (Pasal 1400 s.d. 1403 KUHPerdata)."
1422,subsidi/subsidy,"bantuan keuangan yang diberikan oleh pemerintah kepada pihak tertentu berdasarkan pertimbangan bahwa pemberian bantuan tersebut digunakan untuk kepentingan umum, misalnya untuk pengendalian harga bahan kebutuhan pokok atau sumbangan dana pendidikan."
1423,subsidiary company/anak perusahaan,suatu perusahaan yang dikendalikan oleh perusahaan lain sebagai induknya karena sebagian besar atau seluruh modalnya dimiliki oleh perusahaan induk tersebut.
1424,supervisi,"pengawasan utama, pengontrol tertinggi, operasional."
1425,surat berharga antisipasi pajak/tax anticipation note,"surat berharga jangka pendek yang dikeluarkan oleh pemerintah pusat atau pemerintah daerah untuk membiayai suatu proyek senilai perkiraan pajak yang akan diterima, yang direncanakan sebagai pelunasan surat berharga tersebut; surat itu dikeluarkan dengan diskonto, berjangka waktu kurang dari satu tahun, dan berakhir baik pada tanggal tertentu pada masa akan dating maupun pada saat penerimaan tagihan pajak."
1426,surat berharga atas bawa/toonder papier,surat berharga yang mencantumkan atau tidak mencantumkan nama penerima disertai klausul atau kepada pembawa”; surat ïni dipindahtangankan dengan cara menyerahkan begitu saja.
1427,surat berharga beragunan/collateral trust note,1. surat berharga jangka pendek yang diterbitkan dengan jaminan hak tanggungan; penerbitan surat berharga ini didahului dengan suatu perjanjian yang dijamin dengan hak tanggungan; pemegang surat berharga mempunyai hak tagih yang sama dengan kreditur pemegang hak tanggungan; 2. surat berharga jangka pendek yang dijamin oleh saham prioritas ataupun surat berharga lainnya.
1428,surat berharga finansial/financial paper,bentuk pinjaman jangka pendek yang tidak didukung oleh transaksi yang bersifat komersial atau pemindahan hak atas kepemilikan barang tetap yang dinyatakan dalam suatu perjanjian.
1429,surat berharga komersial/commercial paper,"surat utang jangka pendek, surat utang tanpa jaminan di pasar uang, yang diterbitkan oleh perusahaan terkenal ataupun lembaga keuangan, dengan jangka waktu antara 2 s.d. 270 hari; surat berharga yang paling banyak dalam jangka waktu 30 hari; penerbit surat berharga ini harus diperingkat oleh lembaga pemeringkat yang diakui; lembaga pemeringkat surat berharga jangka pendek di Indonesia pada saat ini adalah PT Pefindo."
1430,surat berharga pasar uang/money market instruments,"surat utang yang diterbitkan oleh badan usaha swasta, pemerintah, dan agen pemerintah, umumnya berjangka waktu maksimum satu tahun; Surat utang yang demikian merupakan investasi yang sangat likuid; contohnya, Sertifikat Bank Indonesia, surat berharga pasar uang, surat berharga komersial, termasuk di dalamnya surat utang jangka pendek, akseptasi bank, surat berharga komersial, surat berharga jangka pendek pemerintah daerah yang bebas pajak, dan sertifikat deposito bank yang dapat dijual."
1431,surat berharga tak-terkenal/second class paper,"surat berharga yang diterbitkan oleh perusahaan yang tidak terkenal tidak punya nama; walaupun risiko surat berharga tersebut lebih rendah, harganya tidak terlalu tinggi apabila dibandingkan dengan surat berharga yang diterbitkan oleh perusahaan yang lebih terkenal yang mungkin lebih berisiko; misalnya, surat berharga yang diterbitkan oleh Perusahaan A lebih tinggi harganya jika dibandingkan dengan harga surat berharga Perusahaan B yang belum terkenal walaupun risiko Perusahaan B lebih kecil daripada Perusahaan A."
1432,surat berharga tercatat/registered security,"surat-surat berharga yang pemiliknya tercatat di bursa efek dan Bappepam; seperti halnya obligasi terdaftar, nilai nominal obligasi dan bunganya apabila dicatat sebagai bunga, akan dibayarkan pada pemilik surat berharga yang terdaftar namanya; sebaliknya, apabila kupon dijual maka pemegang kupon harus menyerahkannya pada emiten untuk memperoleh pembayaran."
1433,surat berharga unggul/first class paper/prime paper,"surat berharga yang dikeluarkan oleh orang atau lembaga yang mempunyai nama baik (reputasi atau bonafiditas tinggi) sehingga berisiko rendah; di Amerika Serikat surat berharga ini biasanya, dikeluarkan oleh lembaga yang mempunyai peringkat AAA."
1434,surat berharga/securities,"surat pengakuan utang, wesel, saham, obligasi, sekuritas kredit, atau setiap derivatifnya, atau kepentingan lain, atau suatu kewajiban dari penerbit, dalam bentuk yang lazim diperdagangkan dalam pasar modal dan pasar uang."
1435,surat gadai modal/equity contract notes,promes yang dikeluarkan sebuah bank atau induk bank (holding bank) yang dapat dikonversi/diubah menjadi saham biasa dengan nilai konversi yang ditetapkan/diperjanjikan untuk suatu tanggal pada masa datang; juga disebut promes modal (capital note); surat gadai modal dengan klausul “dapat dikonversi” yang mewajibkan penerbit untuk mengubah promes menjadi saham biasa dianggap sebagai modal pelengkap menurut ketentuan modal atas dasar risiko yang ditetapkan oleh lembaga pengaturan perbankan.
1436,surat gugatan,suatu pernyataan tertulis yang berisi suatu ketentuan hak dari seseorang atau badan hukum yang merasa haknya dilanggar terhadap orang atau badan hukum yang dirasa melanggar orang lain tersebut yang diajukan kepada ketua Pengadilan Negeri yang berwenang.
1437,surat keputusan otorisasi (SKO),bukti tindakan Kepala Daerah yang akan mengakibatkan pembebanan pada Anggaran Belanja Daerah.
1438,surat keputusan pembebanan,surat keputusan yang dikeluarkan oleh Badan Pemeriksa Keuangan yang mempunyai kekuatan hukum final tentang pembebanan penggantian kerugian negara terhadap bendahara.
1439,surat keputusan pembebanan sementara,surat keputusan yang dikeluarkan oleh menteri/pimpinan lembaga/kepala badan-badan lain/gubernur/bupati/walikota tentang pembebanan penggantian sementara atas kerugian negara sebagai dasar untuk melaksanakan sita jaminan.
1440,surat keputusan pembebasan,surat keputusan yang dikeluarkan oleh Badan Pemeriksa Keuangan tentang pembebasan bendahara dari kewajiban untuk mengganti kerugian negara karena tidak ada unsur perbuatan melawan hukum baik sengaja maupun lalai.
1441,surat keputusan pencatatan,surat keputusan yang dikeluarkan oleh Badan Pemeriksa Keuangan tentang proses penuntutan kasus kerugian negara untuk sementara tidak dapat dilanjutkan.
1442,surat keputusan penetapan batas waktu (SK-PBW),surat keputusan yang dikeluarkan oleh Badan Pemeriksa Keuangan tentang pemberian kesempatan kepada bendahara untuk mengajukan keberatan atau pembelaan diri atas tuntutan penggantian kerugian negara.
1443,surat keterangan tanggung jawab mutlak (SKTJM),surat keterangan yang menyatakan kesanggupan dan/atau pengakuan bahwa yang bersangkutan bertanggung jawab atas kerugian negara yang terjadi dan bersedia mengganti kerugian negara dimaksud.
1444,surat kredit berdokumen dalam negeri (SKBDN)/domestic L/C,"janji tertulis pemohon yang mengikat bank pembuka untuk : 1) melakukan pembayaran kepada penerima atau ordernya, atau mengaksep dan membayar wesel yang ditarik oleh penerima; 2) memberi kuasa kepada bank lain untuk melakukan pembayaran kepada penerima, mengaksep dan membayar wesel yang ditarik oleh penerima; 3) memberi kuasa kepada bank lain untuk menegosiasi wesel yang ditarik oleh penerima atas penyerahan dokumen, sepanjang SKBDN dipenuhi."
1445,surat kredit berdokumen klausul hijau/green clause L/C,surat kredit berdokumen dengan klausul yang mengizinkan nasabah menerima uang muka untuk keperluan pembelian atau produksi barang-barangnya; uang muka tersebut kemudian akan diperhitungkan dengan hasil negosiasi wesel ekspomya.
1446,surat kredit berdokumen langsung/straight L/C,surat kredit berdokumen yang dapat segera dibayarkan pada saat eksportir menyerahkan wesel unjuk disertai dengan dokumen pendukung yang lengkap.
1447,surat kredit berdokumen siaga/standby L/C,surat kredit yang berbentuk jaminan dan bank pembuka kepada penerima terhadap kemungkinan terjadinya wanprestasi dan pembuka; fungsinya hanya untuk berjaga-jaga dan tidak dimaksudkan untuk dicairkan.
1448,surat kredit berdokumen tak-dikuatkan/unconfirmed L/C,surat kredit berdokumen yang dalam penerusannya kepada bank pembayar tidak diperkuat oleh bank lain.
1449,surat kredit berdokumen tak-terbatalkan (irrevocable L/C),"surat kredit berdokumen yang tidak dapat diubah, dibatalkan, atau ditarik kembali tanpa persetujuan dari semua pihak yang berkepentingan."
1450,surat kredit berdokumen tak-terbatas/unrestrictedL/C,surat kredit berdokumen yang wesel/dokumen-dokumennya dapat diajukan kepada bank manapun yang dipilih oleh beneficiary.
1451,surat kredit berdokumen terbatalkan sepihak/revocable L/C,surat kredit berdokumen atau L/C yang dapat dapat diubah atau dibatalkan oleh importir atau bank penerbit tanpa persetujuan pihak terkait lainnya selama jangka waktu berlakunya L/C.
1452,surat kredit berdokumen terbatas/restrictedL/C,surat kredit berdokumen yang membatasi hak eksportir untuk menegosiasi dokumen pengapalan pada bank tertentu yang disebutkan oleh issuing bank.
1453,surat kredit berdokumen terdukung/back to back L/C,surat kredit berdokumen yang dibuka berdasarkan suatu surat kredit berdokumen lain yang mendukungnya; pemohon surat kredit berdokumen yang dibuka adalah penikmat surat kredit berdokumen lain itu. syarat-syarat surat kredit berdokumen yang dibuka harus sesuai dengan syarat-syarat surat kredit berdokumen yang mendukungnya.
1454,surat kredit berdokumen/letter of credit,"janji tertulis yang diterbitkan oleh issuing bank atas dasar permohonan tertulis applicant atau dirinya sendiri kepada beneficiary untuk membayar atau mengaksep draft, mengizinkan bank lain untuk membayar atau mengaksep atau mengambil alih draft, apabila dokumen yang diserahkan oleh beneficiary sesuai dengan syarat dan kondisi janji tertulis yang diterbitkan oleh issuing bank."
1455,surat kredit boleh alih/transferable credit,surat kredit yang dicantumkan syarat transferable atau boleh alih; penikmat pertama dapat memindahkan hak dan tanggung jawabnya untuk sebagian atau seluruhnya kepada penikmat lain dan dapat pula mengurangi jumlah serta memperpendek jangka waktu kredit.
1456,surat perbendaharaan negara/treasury bill,surat berharga yang dikeluarkan oleh pemerintah untuk memperoleh dana jangka pendek dengan menjualnya di bawah harga nominal.
1457,surat perintah membayar (SPM),dokumen yang diterbitkan oleh Pengguna Anggaran/Kuasa Pengguna Anggaran atau pejabat lain yang ditunjuk untuk mencairkan dana yang bersumber dari DIPA atau dokumen lain yang dipersamakan.
1458,surat perintah pencairan dana (SP2D),surat perintah yang diterbitkan KPPN selaku Kuasa Bendahara Umum Negara untuk pelaksanaan pengeluaran atas beban APBN berdasarkan SPM.
1459,surat perintah persiapan pemeriksaan,surat perintah yang dikeluarkan untuk membentuk tim persiapan pemeriksaan yang bertugas menyusun P2 untuk kebutuhan intern dalam rangka mempersiapkan program pemeriksaan.
1460,surat permintaan pembayaran (SPP),dokumen yang dibuat dan diajukan oleh pejabat yang bertanggung jawab atas pelaksanaan kegiatan dan disampaikan dan disampaikan kepada Pengguna Anggaran/Kuasa Pengguna Anggaran atau pejabat lain yang ditunjuk selaku pemberi kerja untuk selanjutnya diteruskan kepada pejabat penerbit SPM berkenaan.
1461,surat tugas,surat penugasan kepada pemeriksa untuk melakukan kegiatan pemeriksaan pada suatu entitas dan dalam waktu tertentu (vide: Panduan Manajemen Pemeriksaan Tahun 2008).
1462,surety/penanggung penjamin,orang atau badan hukum yang bertindak sebagai penanggung utang atau penjamin pelunasan utang orang lain yaitu debitur terhadap kreditur.
1463,surplus anggaran daerah,selisih lebih antara pendapatan daerah dan belanja daerah.
1464,surtax/pajak tambahan,"bea, pajak, atau pungutan tambahan atas suatu objek yang sebelumnya telah kena pajak, misalnya pajak tambahan yang dikenakan terhadap objek kena pajak berupa komoditi impor."
1465,swap contract/kontrak swap,"perjanjian antara dua pihak untuk saling menukar dana, valuta asing atau sekuritas dalam hal pihak pertama menggunakan kurs tetap, sedangkan pihak kedua menggunakan kurs mengambang."
1466,syndicate/sindikat,"sekelompok orang atau badan hukum yang secara bersama-sama menjalankan suatu kegiatan usaha yang bersifat khusus dan mereka mempunyai bersama dalam kegiatan tersebut, misalnya dalam hal pembiayaan suatu usaha investasi besar."
1467,syndication/sindikasi,tindakan atau proses pembentukan sindikat.
1468,tacit,"1. tindakan berdasarkan hukum, bukan kontrak atau perjanjian; 2. sudah dianggap mengerti, meskipun diam."
1469,tacit admissions,pernyataan setuju atau tidak setuju.
1470,tacit law,peraturan tanpa lewat parlemen.
1471,tacita reconductio,perpanjangan kontrak secara diam-diam.
1472,tacitus consensus,persetujuan bersama secara diam-diam.
1473,tahun anggaran,masa satu tahun mulai dari tanggal 1 Januari sampai dengan tahun yang berjalan.
1474,tahun buku,"jangka waktu selama 12 bulan berturut-turut sebagai dasar penyelenggaraan dan penutupan buku, untuk menetapkan hasil usaha, keadaan keuangan, rencana kerja dan anggaran."
1475,taksir – penaksir/adjuster,"ahli dalam asuransi yang menilai dan membereskan tuntutan kerugian; kaitannya dengan pembekuan kegiatan bank, pemberes adalah pihak yang ditunjuk untuk menyelesaikan segala hal yang berkaitan dengan penyelesaian hak dan kewajiban dan bank."
1476,tanggal mundur/post dated,"tanggal pada cek atau tanggal pada alat pembayaran yang dapat diperjualbelikan, yang baru dapat dibayar pada waktu yang akan datang; cek yang ditulis dengan tanggal kemudian baru dapat dibayar sejak tanggal yang tertera pada cek tersebut; akseptasi bank dan wesel berjangka merupakan instrumen yang bertanggal mundur."
1477,tanggung – penanggung/insurers,"pihak yang telah memiliki izin formal untuk melakukan kegiatan usaha yang berkaitan dengan pengambilalihan risiko pihak lain berdasarkan suatu polis; atas pertanggungan ini, penanggung risiko menerima premi dari pihak lain selaku tertanggung; lazimnya, penanggung adalah perusahaan asuransi."
1478,tanggung jawab keuangan negara,"kewajiban pemerintah dan lembaga negara lainnya untuk melaksanakan pengelolaan keuangan negara secara tertib, taat pada peraturan perundang-undangan, efisien, ekonomis, efektif, dan transparan dengan memperhatikan rasa keadilan dan kepatutan."
1479,tanggung renteng/joint and several liability,"tanggung jawab para debitur baik bersama-sama, perseorangan, maupun khusus salah seorang diantara mereka untuk menanggung pembayaran seluruh utang; pembayaran salah seorang debitur mengakibatkan debitur yang lain terbebas dari kewajiban membayar utang."
1480,tangible,benda konkret.
1481,tanpa gap/zero gap,keadaan dalam periode tertentu dengan kondisi tingkat bunga penanaman bank dalam aktiva produktif (aset) sama dengan tingkat bunga utang (liabilities).
1482,tanpa tanggung renteng/without recourse,"risiko tidak terbayarnya suatu promes atau instrumen dagang lain oleh pembeli (orang yang menerbitkan promes tersebut); secara hukum, pengendos (yang membubuhkan tanda tangan atas cek/draft/promes) diminta bertanggung jawab terhadap pembayaran instrumen tersebut kepada pemegang surat berharga apabila penerbit instrumen tersebut tidak mampu untuk membayar (wanprestasi), hal ini dapat dilakukan jika dalam endosemen tersebut terdapat klausul berisi kata “tanpa tanggung renteng”."
1483,tax court,pengadilan urusan pajak.
1484,tax court practice,berkas-berkas dalam kantor pengadilan perpajakan.
1485,tax deed,pembeslahan harta oleh pemerintah untuk pelunasan pajak.
1486,tax evasion,menyingkir untuk menghindari pajak.
1487,tax laws,undang-undang perpajakan.
1488,tax lien,pajak kekayaan.
1489,taxation,metode perpajakan.
1490,temuan pemeriksaan (TP),"1. himpunan dan sintetis dari data dan informasi yang dikumpulkan dan diolah selama dilakukan pemeriksaan pada entitas tertentu dan disajikan sescara sistematis dan analistis meliputu unsur kondisi, kriteria, akibat, dan sebab; 2. indikasi permasalahan yang ditemui di dalam pemeriksaan lapangan."
1491,tenan/tenant,1. pemilik atau pengguna atau penyewa properti atau realestate; 2. pemilik sebagian dari suatu jenis surat berharga; 3. penyewa harta tetap dengan surat kontrak.
1492,tender,harga yang ditawarkan kepada calon pembeli atau pengguna jasa.
1493,tenor/tenggang pembayaran,masa antara tanggal penerbitan atau akseptasi surat berharga dan tanggal jatuh temponya.
1494,tenure,1. masa jabatan; 2. masa penyewaan.
1495,term,1. jangka waktu yang diberikan; 2. persyaratan; 3. kelonggaran.
1496,term of court,jadwal sidang pengadilan. jika sidang diawali pada bulan November disebut: November Term.
1497,termination/berakhir/selesai,dalam hukum perusahaan istilah ini dipakai untuk menunjukkan bahwa suatu perseroan bubar karena masa berdirinya telah terlewati atau tercapai.
1498,terms and condition/syarat-syarat dan kondisi,"ketentuan-ketentuan dalam suatu perjanjian berupa persyaratan, kondisi dan jaminan-jaminan tertentu yang harus dipenuhi oleh kedua pihak."
1499,terperiksa,pihak yang terkena pemeriksaan.
